"Y11","Y13"
51535.6774193548,30433.2763157895
6314.03225806452,4438.43421052632
115267.064516129,94868.1842105263
41493.2258064516,30813.6973684211
40094.5161290323,34744.6315789474
12263.064516129,15286.5
189353.64516129,142382.473684211
34527.7096774194,24315.4736842105
460577.419354839,333515.368421053
153593.451612903,107149.697368421
367759.516129032,263043.578947368
45346.4838709677,35709.3684210526
95902.8709677419,66780.1973684211
484312.161290323,325116.263157895
110119.387096774,81937.4473684211
47595.3225806452,40048.3684210526
292849.548387097,200098.802631579
253165.35483871,199446.697368421
2.12903225806452,0.0921052631578947
5.03225806451613,0.355263157894737
299.483870967742,31.0657894736842
385786.161290323,263055.052631579
258863.161290323,178222.368421053
217676.193548387,151616.328947368
13125.6129032258,11447.6315789474
160.677419354839,65.7763157894737
100100.580645161,64037.1578947368
975.58064516129,1054.27631578947
99.4516129032258,66.1315789473684
184320.387096774,131791.342105263
230785.096774194,178134.065789474
333695.096774194,243553.578947368
400503,299790.210526316
153230.258064516,111803.578947368
191898.806451613,125118.881578947
218689.483870968,157985.342105263
100806.741935484,86838.1184210526
13550.064516129,10055.5263157895
86.9354838709677,125.236842105263
221388.451612903,133462.736842105
499312.838709677,380393.434210526
468657,355055.934210526
368775.35483871,279819.526315789
338940.064516129,255247.513157895
101910.451612903,53788.5526315789
468238.161290323,338098.763157895
423831.387096774,346775.052631579
1502,699.210526315789
2334.64516129032,712.684210526316
28966.064516129,20154.75
156612.774193548,93549.0394736842
50316.935483871,31740.2236842105
287737.193548387,201688.605263158
486525.419354839,344789.302631579
292857.677419355,197919.105263158
30864.8064516129,21053.7763157895
207216.35483871,142672.894736842
473060.064516129,337242.434210526
458479.774193548,364557.947368421
517093.741935484,404288.381578947
227610.870967742,189325.013157895
329278.193548387,257694.039473684
2445.45161290323,2226.60526315789
13278.3225806452,10264.6710526316
207614.064516129,157291.434210526
329577.322580645,223921.789473684
68014.6774193548,55973.6842105263
157773.677419355,122825.473684211
236920.032258065,183650.197368421
