LocationID,longitude,latitude
4,-73.97696826,40.72375214
12,-74.01556351,40.70294583
13,-74.01607915,40.712038157074474
24,-73.96547952,40.80197049389964
41,-73.951292,40.80433394979461
42,-73.94077167,40.818257861119235
43,-73.96555357,40.78247809974789
45,-73.9981515,40.71245931177948
48,-73.98984464,40.762252755319366
50,-73.99513522,40.76623772504186
68,-73.99991742,40.748427555065724
74,-73.93734561,40.801169480586516
75,-73.94575027,40.79001075149546
79,-73.98593746,40.727620195909545
87,-74.00749599,40.70680845166585
88,-74.01151503,40.70335790323616
90,-73.99697142,40.74227862901228
100,-73.9887866,40.75351275872571
103,-74.04528829,40.689860103660195
104,-74.04077077,40.698768673626134
105,-74.01907273,40.68878423861296
107,-73.98405213,40.73682405761897
113,-73.99430477,40.732579073027026
114,-73.99738026,40.72834039137229
116,-73.94852173,40.827012654925376
120,-73.9301822,40.84666774830275
125,-74.00748582,40.72629041
127,-73.91930824,40.86607500072781
128,-73.92436982,40.87237880957358
137,-73.97649472,40.740438978596416
140,-73.95473878,40.765484087889845
141,-73.95963474,40.76694821638323
142,-73.98153221,40.77363329302709
143,-73.98764555,40.775965228760995
144,-73.99691854,40.72088889344526
148,-73.99089626,40.71893835938027
151,-73.96816833,40.79796199310004
152,-73.95378224,40.81797514762945
153,-73.91037866,40.87596780221243
158,-74.0089841,40.735035400696646
161,-73.97769793,40.75802804352625
162,-73.97235594,40.75668765218883
163,-73.97756868,40.764421405786784
164,-73.98515639,40.74857462935672
166,-73.9617636,40.80945696112527
170,-73.9784916,40.74774579
186,-73.99243754,40.74849718
194,-73.9245963,40.79100078171128
202,-73.94995171,40.76189974995506
209,-74.00366456,40.70907274
211,-74.00153757,40.72388811004171
224,-73.97659767,40.73182063601676
229,-73.9651458,40.75672894163307
230,-73.98419649,40.75981761719185
231,-74.00787971,40.717772736265175
232,-73.98302456,40.71473251
233,-73.97044257,40.74991407790216
234,-73.99045782,40.74033744175701
236,-73.9570117,40.78043643718997
237,-73.96563454,40.76861518381155
238,-73.9730489,40.79170493442709
239,-73.97863195,40.783961430313774
243,-73.93283149,40.85710828331443
244,-73.94139911,40.84170877111978
246,-74.00401513,40.75330906598335
249,-74.00287496,40.73457600733177
261,-74.01302277,40.70913894067186
262,-73.94651036,40.77593240314994
263,-73.95100987,40.77876585543437
