LocationID,Zone,Label
4,Alphabet City,Downtown
12,Battery Park,Downtown
13,Battery Park City,Downtown
24,Bloomingdale,Uptown
41,Central Harlem,Uptown
42,Central Harlem North,Uptown
43,Central Park,Midtown
45,Chinatown,Downtown
48,Clinton East,Midtown
50,Clinton West,Midtown
68,East Chelsea,Midtown
74,East Harlem North,Uptown
75,East Harlem South,Uptown
79,East Village,Downtown
87,Financial District North,Downtown
88,Financial District South,Downtown
90,Flatiron,Midtown
100,Garment District,Midtown
103,Gov's Island / Ellis / Liberty Island,Downtown
104,Gov's Island / Ellis / Liberty Island,Downtown
105,Gov's Island / Ellis / Liberty Island,Downtown
107,Gramercy,Midtown
113,Greenwich Village North,Downtown
114,Greenwich Village South,Downtown
116,Hamilton Heights,Uptown
120,Highbridge Park,Uptown
125,Hudson Sq,Downtown
127,Inwood,Uptown
128,Inwood Hill Park,Uptown
137,Kips Bay,Midtown
140,Lenox Hill East,Uptown
141,Lenox Hill West,Uptown
142,Lincoln Square East,Midtown
143,Lincoln Square West,Midtown
144,Little Italy/NoLiTa,Downtown
148,Lower East Side,Downtown
151,Manhattan Valley,Uptown
152,Manhattanville,Uptown
153,Marble Hill,Uptown
158,Meatpacking/West Village West,Downtown
161,Midtown Center,Midtown
162,Midtown East,Midtown
163,Midtown North,Midtown
164,Midtown South,Midtown
166,Morningside Heights,Uptown
170,Murray Hill,Midtown
186,Penn Station/Madison Sq West,Midtown
194,Randalls Island,Uptown
202,Roosevelt Island,Uptown
209,Seaport,Downtown
211,SoHo,Downtown
224,Stuy Town/Peter Cooper Village,Downtown
229,Sutton Place/Turtle Bay North,Midtown
230,Times Sq/Theatre District,Midtown
231,TriBeCa/Civic Center,Downtown
232,Two Bridges/Seward Park,Downtown
233,UN/Turtle Bay South,Midtown
234,Union Sq,Downtown
236,Upper East Side North,Uptown
237,Upper East Side South,Uptown
238,Upper West Side North,Uptown
239,Upper West Side South,Uptown
243,Washington Heights North,Uptown
244,Washington Heights South,Uptown
246,West Chelsea/Hudson Yards,Midtown
249,West Village,Downtown
261,World Trade Center,Downtown
262,Yorkville East,Uptown
263,Yorkville West,Uptown
